07/15 03:54:39PM parser.py:28 [INFO] 
07/15 03:54:39PM parser.py:29 [INFO] Parameters:
07/15 03:54:39PM parser.py:31 [INFO] ADVANCED=True
07/15 03:54:39PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 03:54:39PM parser.py:31 [INFO] CIFAR=True
07/15 03:54:39PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 03:54:39PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 03:54:39PM parser.py:31 [INFO] DATASET=cifar100
07/15 03:54:39PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 03:54:39PM parser.py:31 [INFO] EPOCHS=50
07/15 03:54:39PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] GPUS=[0]
07/15 03:54:39PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 03:54:39PM parser.py:31 [INFO] LR=0.001
07/15 03:54:39PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 03:54:39PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 03:54:39PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 03:54:39PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 03:54:39PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] PRETRAINED=True
07/15 03:54:39PM parser.py:31 [INFO] SAVE=pretrained
07/15 03:54:39PM parser.py:31 [INFO] SEED=0
07/15 03:54:39PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 03:54:39PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 03:54:39PM parser.py:31 [INFO] WORKERS=4
07/15 03:54:39PM parser.py:32 [INFO] 
07/15 03:54:40PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 04:22:10午後 trainTeacher_main.py:209 [INFO] Train: [ 43/49] Final Prec@1 96.6622%
07/15 04:22:12午後 trainTeacher_main.py:237 [INFO] Valid: [ 43/49] Final Prec@1 83.2800%
07/15 04:22:12午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:22:48午後 trainTeacher_main.py:209 [INFO] Train: [ 44/49] Final Prec@1 96.7800%
07/15 04:22:49午後 trainTeacher_main.py:237 [INFO] Valid: [ 44/49] Final Prec@1 83.4200%
07/15 04:22:49午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:23:25午後 trainTeacher_main.py:209 [INFO] Train: [ 45/49] Final Prec@1 96.9644%
07/15 04:23:26午後 trainTeacher_main.py:237 [INFO] Valid: [ 45/49] Final Prec@1 83.3800%
07/15 04:23:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:24:03午後 trainTeacher_main.py:209 [INFO] Train: [ 46/49] Final Prec@1 97.0778%
07/15 04:24:04午後 trainTeacher_main.py:237 [INFO] Valid: [ 46/49] Final Prec@1 83.4000%
07/15 04:24:04午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:24:40午後 trainTeacher_main.py:209 [INFO] Train: [ 47/49] Final Prec@1 96.9489%
07/15 04:24:41午後 trainTeacher_main.py:237 [INFO] Valid: [ 47/49] Final Prec@1 83.2000%
07/15 04:24:41午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.4400%
07/15 04:25:18午後 trainTeacher_main.py:209 [INFO] Train: [ 48/49] Final Prec@1 97.0067%
07/15 04:25:19午後 trainTeacher_main.py:237 [INFO] Valid: [ 48/49] Final Prec@1 83.5200%
07/15 04:25:19午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 04:25:55午後 trainTeacher_main.py:209 [INFO] Train: [ 49/49] Final Prec@1 97.1556%
07/15 04:25:57午後 trainTeacher_main.py:237 [INFO] Valid: [ 49/49] Final Prec@1 83.5800%
07/15 04:25:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5800%
07/15 04:25:57午後 trainTeacher_main.py:181 [INFO] Final best Prec@1 = 83.5800%
